question,answer
Name characteristics of living things.,"Growth, reproduction, movement, respiration, excretion, nutrition."
What is habitat?,The natural home of plants and animals.
What is adaptation?,Changes in body to suit the environment.
What are terrestrial habitats?,"Habitats on land like forests, deserts, mountains."
What are aquatic habitats?,"Habitats in water like ponds, rivers, oceans."
How do fish breathe underwater?,Fish breathe through gills that extract oxygen from water.
What are the main parts of a plant?,"Root, stem, leaf, flower, fruit, and seed."
What is the function of roots?,Roots absorb water and minerals from soil.
What is the function of stems?,Stems transport water and provide support to plants.
What is the function of leaves?,Leaves make food for plants through photosynthesis.
What are herbs?,Small plants with soft green stems.
What are shrubs?,Medium-sized plants with hard woody stems.
What are trees?,"Large plants with thick, hard, woody stems."
What is photosynthesis?,Process by which plants make food using sunlight.
What do plants need for photosynthesis?,"Sunlight, water, carbon dioxide, and chlorophyll."
What is transpiration?,Loss of water vapor from leaves of plants.
What is light?,A form of energy that helps us see objects.
What are sources of light?,"Sun, stars, bulb, candle, fire are sources of light."
What is a shadow?,Dark area formed when light is blocked by an object.
What is reflection?,Bouncing back of light from a surface.
What is a mirror?,A smooth surface that reflects light completely.
Why do we see our image in mirror?,Due to reflection of light from the mirror surface.
What are luminous objects?,Objects that produce their own light like sun and stars.
What are non-luminous objects?,Objects that do not produce light but reflect it.
What is air?,A mixture of gases that surrounds the earth.
What gases are present in air?,"Nitrogen, oxygen, carbon dioxide, and water vapor."
Why do we need oxygen?,Oxygen is needed for breathing and burning.
What is an electric circuit?,A complete path through which electric current flows.
What is an electric cell?,A device that produces electric current.
What are conductors?,Materials that allow electric current to pass through them.
What are insulators?,Materials that do not allow electric current to pass through.
What is garbage?,Waste materials that we throw away.
What is biodegradable waste?,Waste that can be broken down by microorganisms.
What is non-biodegradable waste?,Waste that cannot be broken down by microorganisms.
What is recycling?,Converting waste materials into new useful products.
What is composting?,Converting organic waste into manure using microorganisms.
What joints help us move?,"Ball and socket joints, hinge joints, pivot joints."
What is skeleton?,Framework of bones that gives shape and support to body.
What connects bones to muscles?,Tendons connect bones to muscles.
What connects bone to bone?,Ligaments connect bone to bone.
How do earthworms move?,By contracting and expanding their body muscles.
How do birds fly?,By flapping their wings and using air currents.
