question,answer
दिशासूचक क्या है?,चुंबकीय सुई वाला एक यंत्र जो दिशा दिखाता है।
चुंबक कैसे बना सकते हैं?,लोहे को चुंबक से एक दिशा में बार-बार रगड़कर।
मापना क्या है?,किसी अज्ञात राशि की तुलना एक ज्ञात मानक इकाई से करना।
लम्बाई की SI इकाई क्या है?,मीटर (m) लम्बाई की SI इकाई है।
गति के विभिन्न प्रकारों के नाम बताएं।,"सरल रेखीय, वृत्ताकार, घूर्णन, दोलनी, अनियमित गति।"
सरल रेखीय गति क्या है?,सीधी रेखा में होने वाली गति।
वृत्ताकार गति क्या है?,वृत्ताकार पथ पर होने वाली गति।
दोलनी गति क्या है?,वह गति जो नियमित अंतराल पर दोहराई जाती है।
सरल रेखीय गति के उदाहरण दें।,"सीधी पटरी पर ट्रेन, जमीन पर लुढ़कती गेंद।"
वृत्ताकार गति के उदाहरण दें।,"घड़ी की सुइयां, साइकिल का पहिया, सूर्य के चारों ओर पृथ्वी।"
पदार्थ क्या हैं?,वे चीजें जिनसे वस्तुएं बनी होती हैं।
हम पदार्थों को कैसे समूहबद्ध कर सकते हैं?,"दिखावट, कठोरता, घुलनशीलता, पारदर्शिता के आधार पर।"
पारदर्शी पदार्थ क्या हैं?,वे पदार्थ जिनके माध्यम से हम स्पष्ट रूप से देख सकते हैं।
अर्धपारदर्शी पदार्थ क्या हैं?,वे पदार्थ जिनके माध्यम से हम आंशिक रूप से देख सकते हैं।
अपारदर्शी पदार्थ क्या हैं?,वे पदार्थ जिनके माध्यम से हम बिल्कुल नहीं देख सकते।
घुलनशीलता क्या है?,किसी पदार्थ का पानी में घुलने का गुण।
घुलनशील पदार्थ क्या हैं?,वे पदार्थ जो पानी में घुल जाते हैं जैसे नमक और चीनी।
अघुलनशील पदार्थ क्या हैं?,वे पदार्थ जो पानी में नहीं घुलते जैसे रेत और तेल।
तापमान क्या है?,किसी वस्तु की गर्मी या ठंडक की मात्रा।
तापमान मापने वाला यंत्र क्या है?,थर्मामीटर तापमान मापता है।
तापमान की इकाई क्या है?,डिग्री सेल्सियस (°C) तापमान की इकाई है।
पानी कितने तापमान पर उबलता है?,पानी 100°C पर उबलता है।
पानी कितने तापमान पर जमता है?,पानी 0°C पर जमता है।
सामान्य शरीर का तापमान क्या है?,सामान्य मानव शरीर का तापमान 37°C है।
पानी की तीन अवस्थाएं क्या हैं?,"ठोस (बर्फ), द्रव (पानी), और गैस (भाप)।"
वाष्पीकरण क्या है?,पानी का द्रव से गैस में बदलने की प्रक्रिया।
संघनन क्या है?,जल वाष्प का द्रव में बदलने की प्रक्रिया।
जल चक्र क्या है?,पृथ्वी और वायुमंडल के बीच पानी का निरंतर चक्रण।
वाष्पीकरण का कारण क्या है?,सूर्य की गर्मी वाष्पीकरण का कारण है।
जल वाष्प कहां संघनित होती है?,जल वाष्प वायुमंडल में संघनित होकर बादल बनाती है।
वर्षा क्या है?,"बादलों से पानी का बारिश, बर्फ या ओले के रूप में गिरना।"
पृथक्करण क्या है?,मिश्रण के विभिन्न घटकों को अलग करने की प्रक्रिया।
हाथ से चुनना क्या है?,घटकों को हाथों से चुनकर अलग करना।
पछारना क्या है?,हवा का उपयोग करके हल्के और भारी घटकों को अलग करना।
छानना क्या है?,छलनी का उपयोग करके आकार के आधार पर घटकों को अलग करना।
निस्यंदन क्या है?,फिल्टर पेपर का उपयोग करके द्रव से अघुलनशील ठोस को अलग करना।
निथारना क्या है?,तली में बैठे ठोस पदार्थों से द्रव को डालकर अलग करना।
वाष्पीकरण विधि क्या है?,गर्म करके पानी को हटाकर घुले हुए पदार्थों को अलग करना।
अवसादन का उपयोग कब किया जाता है?,भारी अघुलनशील पदार्थों को अलग करने के लिए जो नीचे बैठ जाते हैं।
जीवित चीजें क्या हैं?,"वे चीजें जो बढ़ सकती हैं, प्रजनन कर सकती हैं, हिल सकती हैं, और पर्यावरण की प्रतिक्रिया कर सकती हैं।"
निर्जीव चीजें क्या हैं?,वे चीजें जो जीवन की विशेषताएं नहीं दिखातीं।
जीवित चीजों की विशेषताओं के नाम बताएं।,"वृद्धि, प्रजनन, गति, श्वसन, उत्सर्जन, पोषण।"
आवास क्या है?,पौधों और जानवरों का प्राकृतिक घर।
अनुकूलन क्या है?,पर्यावरण के अनुकूल शरीर में होने वाले परिवर्तन।
स्थलीय आवास क्या हैं?,"भूमि पर स्थित आवास जैसे जंगल, रेगिस्तान, पहाड़।"
जलीय आवास क्या हैं?,"पानी में स्थित आवास जैसे तालाब, नदियां, समुद्र।"
मछलियां पानी के नीचे कैसे सांस लेती हैं?,मछलियां गलफड़ों के द्वारा पानी से ऑक्सीजन लेकर सांस लेती हैं।
पौधे के मुख्य भाग क्या हैं?,"जड़, तना, पत्ती, फूल, फल, और बीज।"
जड़ों का कार्य क्या है?,जड़ें मिट्टी से पानी और खनिज अवशोषित करती हैं।
तने का कार्य क्या है?,तना पानी का परिवहन करता है और पौधे को सहारा देता है।
पत्तियों का कार्य क्या है?,पत्तियां प्रकाश संश्लेषण द्वारा पौधों के लिए भोजन बनाती हैं।
शाक क्या हैं?,नरम हरे तने वाले छोटे पौधे।
झाड़ियां क्या हैं?,कड़े काष्ठीय तने वाले मध्यम आकार के पौधे।
वृक्ष क्या हैं?,"मोटे, कड़े, काष्ठीय तने वाले बड़े पौधे।"
प्रकाश संश्लेषण क्या है?,पौधों द्वारा सूर्य की रोशनी का उपयोग करके भोजन बनाने की प्रक्रिया।
प्रकाश संश्लेषण के लिए पौधों को क्या चाहिए?,"सूर्य की रोशनी, पानी, कार्बन डाइऑक्साइड, और क्लोरोफिल।"
वाष्पोत्सर्जन क्या है?,पौधों की पत्तियों से जल वाष्प का निकलना।
प्रकाश क्या है?,एक प्रकार की ऊर्जा जो हमें वस्तुओं को देखने में मदद करती है।
प्रकाश के स्रोत क्या हैं?,"सूर्य, तारे, बल्ब, मोमबत्ती, आग प्रकाश के स्रोत हैं।"
छाया क्या है?,जब प्रकाश किसी वस्तु से रुक जाता है तो बनने वाला अंधेरा क्षेत्र।
परावर्तन क्या है?,प्रकाश का किसी सतह से टकराकर वापस लौटना।
दर्पण क्या है?,एक चिकनी सतह जो प्रकाश को पूरी तरह परावर्तित करती है।
हम दर्पण में अपनी छवि क्यों देखते हैं?,दर्पण की सतह से प्रकाश के परावर्तन के कारण।
प्रकाशमान वस्तुएं क्या हैं?,वे वस्तुएं जो अपना प्रकाश बनाती हैं जैसे सूर्य और तारे।
अप्रकाशमान वस्तुएं क्या हैं?,वे वस्तुएं जो प्रकाश नहीं बनातीं बल्कि परावर्तित करती हैं।
वायु क्या है?,गैसों का एक मिश्रण जो पृथ्वी को घेरे हुए है।
वायु में कौन सी गैसें होती हैं?,"नाइट्रोजन, ऑक्सीजन, कार्बन डाइऑक्साइड, और जल वाष्प।"
हमें ऑक्सीजन की आवश्यकता क्यों है?,ऑक्सीजन सांस लेने और जलने के लिए आवश्यक है।
विद्युत परिपथ क्या है?,एक पूरा पथ जिससे होकर विद्युत धारा बहती है।
विद्युत सेल क्या है?,एक उपकरण जो विद्युत धारा उत्पन्न करता है।
चालक क्या हैं?,वे पदार्थ जो विद्युत धारा को अपने से होकर जाने देते हैं।
कुचालक क्या हैं?,वे पदार्थ जो विद्युत धारा को अपने से होकर नहीं जाने देते।
कचरा क्या है?,वे अपशिष्ट पदार्थ जिन्हें हम फेंक देते हैं।
जैविक अपशिष्ट क्या है?,वह अपशिष्ट जो सूक्ष्मजीवों द्वारा विघटित हो सकता है।
अजैविक अपशिष्ट क्या है?,वह अपशिष्ट जो सूक्ष्मजीवों द्वारा विघटित नहीं हो सकता।
पुनर्चक्रण क्या है?,अपशिष्ट पदार्थों को नए उपयोगी उत्पादों में बदलना।
कंपोस्टिंग क्या है?,सूक्ष्मजीवों का उपयोग करके जैविक अपशिष्ट को खाद में बदलना।
कौन से जोड़ हमें हिलने में मदद करते हैं?,"कंद और गह्वर जोड़, कब्जा जोड़, धुरी जोड़।"
कंकाल क्या है?,हड्डियों का ढांचा जो शरीर को आकार और सहारा देता है।
हड्डियों को मांसपेशियों से कौन जोड़ता है?,कंडराएं हड्डियों को मांसपेशियों से जोड़ती हैं।
हड्डी से हड्डी को कौन जोड़ता है?,स्नायु हड्डी से हड्डी को जोड़ते हैं।
केंचुए कैसे चलते हैं?,अपनी शरीर की मांसपेशियों को सिकोड़कर और फैलाकर।
पक्षी कैसे उड़ते हैं?,अपने पंख फड़फड़ाकर और हवा की धाराओं का उपयोग करके।
